Outdated Term,Exuberant Synonyms,POS
Use,"Utilize, factor, avail, levy, employ, facetize, mechanize, dynamicize",verb
Use,Application,noun
Manager,"Facilitator, utilizer, handler",noun
Voltage,Volt,noun
User,"Interactor, distinguisher",noun
Agent,"System, facet",noun
Bold,Daring,adj
Shrinkage,Reduction,noun
Pilferage,Larceny,noun
Foliage,Verdure,noun
Old,"Previous, prior",adj
Manageable,"Graspable, maintainable, handleable",adj
Manage,Facilitate,verb
Effort,Exertion,noun
Will,Shall,modal
Will,Energy,noun
